y,x,time
0.0,1,15:05:40
0.4,2,15:05:40
0.4,3,15:05:40
0.4,4,15:05:40
0,5,15:05:40
0.4,6,15:05:40
0,7,15:05:40
0.4,8,15:05:40
0.4,9,15:05:40
0.4,10,15:05:40
0.4,11,15:05:40
0,12,15:05:40
0.4,13,15:05:40
0.4,14,15:05:40
0.4,15,15:05:40
0.4,16,15:05:41
0.4,17,15:05:41
0.4,18,15:05:41
0,19,15:05:41
0.4,20,15:05:41
0,21,15:05:41
0.4,22,15:05:41
0.4,23,15:05:41
0.4,24,15:05:41
0.4,25,15:05:41
0.4,26,15:05:41
0.4,27,15:05:41
0.4,28,15:05:41
0.4,29,15:05:41
0.4,30,15:05:41
0.4,31,15:05:41
0.4,32,15:05:41
0.4,33,15:05:41
0.4,34,15:05:41
0.4,35,15:05:42
0,36,15:05:42
0.4,37,15:05:42
0.4,38,15:05:42
0.4,39,15:05:42
0.4,40,15:05:42
0.4,41,15:05:42
0.4,42,15:05:42
0.4,43,15:05:42
0.4,44,15:05:42
0,45,15:05:42
0.4,46,15:05:42
0,47,15:05:42
0.4,48,15:05:42
0.4,49,15:05:42
0.4,50,15:05:42
0,51,15:05:42
0.4,52,15:05:42
0.4,53,15:05:42
0.4,54,15:05:42
0.4,55,15:05:43
0.4,56,15:05:43
0.4,57,15:05:43
0,58,15:05:43
0.4,59,15:05:43
0.4,60,15:05:43
0.4,61,15:05:43
0.4,62,15:05:43
0.4,63,15:05:43
0.4,64,15:05:43
0.4,65,15:05:43
0.4,66,15:05:43
0.4,67,15:05:43
0.4,68,15:05:43
0.4,69,15:05:43
0.4,70,15:05:43
0.4,71,15:05:43
0.4,72,15:05:43
0.4,73,15:05:44
0.4,74,15:05:44
0.4,75,15:05:44
0.4,76,15:05:44
0.4,77,15:05:44
0.4,78,15:05:44
0.4,79,15:05:44
0.4,80,15:05:44
0.4,81,15:05:44
0,82,15:05:44
0.4,83,15:05:44
0,84,15:05:44
0.4,85,15:05:44
0,86,15:05:44
0.4,87,15:05:44
0,88,15:05:44
0.4,89,15:05:44
0,90,15:05:44
0.4,91,15:05:44
0,92,15:05:44
0.4,93,15:05:44
0,94,15:05:44
0.4,95,15:05:44
0,96,15:05:44
0.4,97,15:05:44
0,98,15:05:45
0.4,99,15:05:45
0,100,15:05:45
0.4,101,15:05:45
0,102,15:05:45
0.4,103,15:05:45
0,104,15:05:45
0.4,105,15:05:45
0,106,15:05:45
0.4,107,15:05:45
0,108,15:05:45
0.4,109,15:05:45
0,110,15:05:45
0.4,111,15:05:45
0,112,15:05:45
0.4,113,15:05:45
0,114,15:05:45
0.4,115,15:05:45
0,116,15:05:45
0.4,117,15:05:45
0.4,118,15:05:45
0.4,119,15:05:45
0,120,15:05:45
0.4,121,15:05:45
0.4,122,15:05:45
0.4,123,15:05:45
0.4,124,15:05:45
0,125,15:05:46
0.4,126,15:05:46
0,127,15:05:46
0.4,128,15:05:46
0,129,15:05:46
0.4,130,15:05:46
0,131,15:05:46
0.4,132,15:05:46
0,133,15:05:46
0.4,134,15:05:46
0,135,15:05:46
0.4,136,15:05:46
0,137,15:05:46
0.0,138,15:05:46
0,139,15:05:46
0.0,140,15:05:46
0,141,15:05:46
0.30000000000000004,142,15:05:46
0,143,15:05:46
0.0,144,15:05:46
0.0,145,15:05:46
0.0,146,15:05:46
0.0,147,15:05:46
0,148,15:05:46
0.0,149,15:05:46
0,150,15:05:46
0.0,151,15:05:46
0.0,152,15:05:46
0.0,153,15:05:46
0,154,15:05:47
0.0,155,15:05:47
0.0,156,15:05:47
0.0,157,15:05:47
0,158,15:05:47
0.30000000000000004,159,15:05:47
0.4,160,15:05:47
0.4,161,15:05:47
0.4,162,15:05:47
0.4,163,15:05:47
0.4,164,15:05:47
0.4,165,15:05:47
0.4,166,15:05:47
0.4,167,15:05:47
0.4,168,15:05:47
0.4,169,15:05:47
0.4,170,15:05:47
0.4,171,15:05:47
0.4,172,15:05:47
0.4,173,15:05:48
0.4,174,15:05:48
0,175,15:05:48
0.30000000000000004,176,15:05:48
0.30000000000000004,177,15:05:48
0,178,15:05:48
0.30000000000000004,179,15:05:48
0,180,15:05:48
0.0,181,15:05:48
0,182,15:05:48
0.0,183,15:05:48
0,184,15:05:48
0.0,185,15:05:48
0,186,15:05:48
0.0,187,15:05:48
1.0,188,15:05:48
